graph_type,query_id,src,dst,reachable,path_length,path_cost,unsupported_edge_fraction,incompatible_edge_fraction,bottleneck_edge_fraction,mean_edge_proxy_score,min_edge_proxy_score,proxy_path_success,uses_unsupported_shortcut,path_nodes
kNN_graph,7,64,67,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,8,440,380,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,9,0,470,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,10,480,240,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,11,67,207,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,12,152,177,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,13,5,53,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,14,214,96,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,15,338,321,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,16,352,59,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,17,475,393,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,18,84,119,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,19,385,369,True,6,22.504563896801088,0.5,1.0,0.0,0.09842622337164597,0.0,0.0,True,385 39 117 390 268 375 369
kNN_graph,20,402,500,True,5,20.055384877562172,0.8,1.0,0.2,0.08332344198245022,0.0,0.0,True,402 37 30 430 3 500
kNN_graph,21,389,98,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,22,372,506,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,23,311,203,True,6,23.31546812078528,0.6666666666666666,1.0,0.0,0.10969036368654077,0.0,0.0,True,311 117 238 46 120 362 203
kNN_graph,24,421,192,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,25,327,98,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
