H,all_num_queries,bottleneck_removal_delta_cost,bottleneck_removal_delta_coverage,cluster_compatible_rate,dataset_name,graph_reachable_pair_ratio_sampled,lcb_compatible_rate,mean_compatibility_support_rate,mean_num_bridge_segments,mean_num_segments_per_edge,mean_num_unique_episodes_per_edge,mean_num_unique_starts_per_edge,mean_num_virtual_edges_used,mean_option_cost,mean_option_median_h,mean_virtual_edge_ratio,median_num_bridge_segments,median_num_virtual_edges_used,median_option_cost,node_budget,node_selection,num_edge_segments,num_option_edges,num_selected_nodes,strict_compatible_rate,strict_coverage_over_all,strict_mean_path_cost,strict_num_queries,strict_num_reachable,strict_path_coverage,strict_query_selection_rate,support_baseline,support_unit,virtual_mean_path_cost,virtual_num_queries,virtual_num_reachable,virtual_path_coverage,cost_type
10,100,1.1413226198060933,0.15999999999999992,1.0,scene-play-v0,0.911,0.3001901187934122,0.883220738917358,109.54591818573088,104.83082229079687,7.966963151207116,32.93737520421129,1.95,7.07728715734538,6.787166454891995,0.889,0.0,2.0,7.192450089729875,192,all,1155026,11018,512,0.3018086383597019,0.95,14.62478880591475,100,95,0.95,1.0,support_all_upper_bound,unique_starts,20.645228321929483,100,100,1.0,default
25,100,0.0,0.0,1.0,scene-play-v0,1.0,0.38303082493760043,2.3544299070668835,846.1638104060522,341.19344262295084,8.891803278688524,64.57377049180327,1.78,16.917921829240232,16.69672131147541,0.8176666666666667,0.0,2.0,18.84279919428824,64,density,208128,610,64,0.39493592712675624,0.0,0.0,0,0,0.0,0.0,support_density,unique_starts,52.41017464127727,100,95,0.95,default
25,100,0.0,0.0,1.0,scene-play-v0,1.0,0.35329948526405425,1.1279724311373742,296.4205552620767,205.67967145790556,10.159137577002053,51.403490759753595,1.88,16.268937658360887,16.016427104722794,0.9513333333333334,0.0,2.0,17.25409944487358,64,bottleneck,200332,974,64,0.3605094793684334,0.0,0.0,0,0,0.0,0.0,support_bottleneck,unique_starts,47.819652936868025,100,100,1.0,default
25,100,0.0,0.0,1.0,scene-play-v0,1.0,0.3178352568140872,1.338097804332759,335.8710994459026,222.09451575262543,8.672112018669779,49.411901983663945,1.88,16.569681197473095,16.311551925320888,0.9456666666666668,0.0,2.0,18.059234887775908,64,core_plus_bottleneck,190335,857,64,0.3256780402449694,0.01,27.41300507250067,1,1,1.0,0.01,support_core_plus_bottleneck,unique_starts,47.97139114206688,100,100,1.0,default
25,100,1.8222231472775796,0.1499999999999999,1.0,scene-play-v0,0.917,0.2889858394196643,1.1188163060714575,211.1805681694671,150.91612981156385,6.865115155419552,35.25765018521501,1.88,16.332862630996974,16.052524561120954,0.9883333333333333,0.0,2.0,17.707106781186546,64,all,3748153,24836,512,0.28968254699283325,0.95,18.694000406689085,100,95,0.95,1.0,support_all_upper_bound,unique_starts,47.19083376958257,100,100,1.0,default
25,100,2.2109841148542912,0.0,1.0,scene-play-v0,1.0,0.3763868280823421,2.2440807735320196,765.7211264934573,303.50348675034866,8.506741050674105,58.499302649930264,1.8,16.99957972282149,16.774755927475592,0.9016666666666667,0.0,2.0,18.78867513459481,128,density,652836,2151,128,0.38102124028067513,0.05,26.445018050964233,5,5,1.0,0.05,support_density,unique_starts,48.12259358538798,100,96,0.96,default
25,100,1.3707592973936613,0.0,1.0,scene-play-v0,1.0,0.35568490085897736,1.2824394992710297,329.78628618570656,210.1631825273011,9.473634945397816,49.9600624024961,1.88,16.3091876503903,16.056474258970358,0.9706666666666668,0.0,2.0,17.333333333333332,128,bottleneck,673573,3205,128,0.35874221286767427,0.08,26.982852430712178,8,8,1.0,0.08,support_bottleneck,unique_starts,47.49255983775158,100,100,1.0,default
25,100,1.6604967121973324,0.0,1.0,scene-play-v0,1.0,0.3335993798151831,1.364785777116376,365.9167470644987,218.10420112471056,8.854780019847833,49.40721137942441,1.88,16.5278587230507,16.273073106185908,0.9640000000000001,0.0,2.0,18.095346258924558,128,core_plus_bottleneck,659329,3023,128,0.3367767136503753,0.07,21.506863968417907,7,7,1.0,0.07,support_core_plus_bottleneck,unique_starts,47.62432893268867,100,100,1.0,default
25,100,1.8222231472775796,0.1499999999999999,1.0,scene-play-v0,0.917,0.2889858394196643,1.1188163060714575,211.1805681694671,150.91612981156385,6.865115155419552,35.25765018521501,1.88,16.332862630996974,16.052524561120954,0.9883333333333333,0.0,2.0,17.707106781186546,128,all,3748153,24836,512,0.28968254699283325,0.95,18.694000406689085,100,95,0.95,1.0,support_all_upper_bound,unique_starts,47.19083376958257,100,100,1.0,default
25,100,0.829633102624598,0.05882352941176472,1.0,scene-play-v0,1.0,0.3529372919113688,1.9610009277454534,620.0757283782565,271.7268226822682,8.016876687668766,53.265751575157516,1.84,16.615149629153258,16.380400540054005,0.9466666666666665,0.0,2.0,18.15523855592535,192,density,1207554,4444,192,0.35562407235811694,0.17,23.621774035951944,17,17,1.0,0.17,support_density,unique_starts,47.57229338147591,100,98,0.98,default
25,100,0.6545449233121801,0.0,1.0,scene-play-v0,1.0,0.34186702399614427,1.2790162235977005,304.9665584362072,196.69731437598736,8.865402843601895,46.34739336492891,1.88,16.408704996223765,16.15347551342812,0.9839999999999999,0.0,2.0,18.08421678065126,192,bottleneck,1245094,6330,192,0.3437566957295667,0.12,21.780129524248903,12,12,1.0,0.12,support_bottleneck,unique_starts,47.25233115073725,100,100,1.0,default
25,100,1.163531063822191,0.0,1.0,scene-play-v0,1.0,0.3197371326835007,1.3177655095387153,331.24769680848544,206.17238999137186,8.139603106125971,45.88748921484038,1.88,16.432885739182186,16.17704918032787,0.9773333333333334,0.0,2.0,18.062017367294604,192,core_plus_bottleneck,1194769,5795,192,0.321730843089003,0.17,20.60868846317669,17,17,1.0,0.17,support_core_plus_bottleneck,unique_starts,47.325781797648396,100,100,1.0,default
25,100,1.8222231472775796,0.1499999999999999,1.0,scene-play-v0,0.917,0.2889858394196643,1.1188163060714575,211.1805681694671,150.91612981156385,6.865115155419552,35.25765018521501,1.88,16.332862630996974,16.052524561120954,0.9883333333333333,0.0,2.0,17.707106781186546,192,all,3748153,24836,512,0.28968254699283325,0.95,18.694000406689085,100,95,0.95,1.0,support_all_upper_bound,unique_starts,47.19083376958257,100,100,1.0,default
