env,run_episodes,task_id,variant,gas_n,gas_success_rate,variant_n,variant_success_rate,delta_success_rate,delta_mean_steps
antmaze-medium-stitch-v0,5,2,lowcond_factor_only_nearestgoal,5,1.0,5,0.0,-1.0,795.8
antmaze-medium-stitch-v0,5,2,lowcond_full,5,1.0,5,0.4,-0.6,622.4000000000001
antmaze-medium-stitch-v0,5,2,lowcond_full_localres,5,1.0,5,1.0,0.0,164.0
antmaze-medium-stitch-v0,5,2,lowcond_full_localres_from_full,5,1.0,5,1.0,0.0,114.60000000000002
antmaze-medium-stitch-v0,5,2,lowcond_full_nearestgoal,5,1.0,5,0.8,-0.19999999999999996,267.2
antmaze-medium-stitch-v0,5,2,lowcond_full_nomask_nearestgoal,5,1.0,5,1.0,0.0,109.40000000000003
antmaze-medium-stitch-v0,5,2,lowcond_full_rawdist_nearestgoal,5,1.0,5,1.0,0.0,64.19999999999999
antmaze-medium-stitch-v0,5,2,lowcond_full_trajend,5,1.0,5,1.0,0.0,138.40000000000003
antmaze-medium-stitch-v0,5,2,lowcond_tdr_only_local,5,1.0,5,1.0,0.0,84.40000000000003
antmaze-medium-stitch-v0,5,3,lowcond_factor_only_nearestgoal,5,1.0,5,0.4,-0.6,738.4
antmaze-medium-stitch-v0,5,3,lowcond_full,5,1.0,5,1.0,0.0,124.79999999999998
antmaze-medium-stitch-v0,5,3,lowcond_full_localres,5,1.0,5,0.6,-0.4,459.20000000000005
antmaze-medium-stitch-v0,5,3,lowcond_full_localres_from_full,5,1.0,5,1.0,0.0,136.4
antmaze-medium-stitch-v0,5,3,lowcond_full_nearestgoal,5,1.0,5,0.8,-0.19999999999999996,351.4
antmaze-medium-stitch-v0,5,3,lowcond_full_nomask_nearestgoal,5,1.0,5,0.8,-0.19999999999999996,283.79999999999995
antmaze-medium-stitch-v0,5,3,lowcond_full_rawdist_nearestgoal,5,1.0,5,1.0,0.0,94.79999999999998
antmaze-medium-stitch-v0,5,3,lowcond_full_trajend,5,1.0,5,0.8,-0.19999999999999996,316.20000000000005
antmaze-medium-stitch-v0,5,3,lowcond_tdr_only_local,5,1.0,5,1.0,0.0,134.79999999999998
antmaze-medium-stitch-v0,5,4,lowcond_factor_only_nearestgoal,5,1.0,5,0.0,-1.0,726.4
antmaze-medium-stitch-v0,5,4,lowcond_full,5,1.0,5,1.0,0.0,200.79999999999995
antmaze-medium-stitch-v0,5,4,lowcond_full_localres,5,1.0,5,0.8,-0.19999999999999996,188.39999999999998
antmaze-medium-stitch-v0,5,4,lowcond_full_localres_from_full,5,1.0,5,1.0,0.0,-3.0
antmaze-medium-stitch-v0,5,4,lowcond_full_nearestgoal,5,1.0,5,1.0,0.0,9.599999999999966
antmaze-medium-stitch-v0,5,4,lowcond_full_nomask_nearestgoal,5,1.0,5,0.6,-0.4,322.19999999999993
antmaze-medium-stitch-v0,5,4,lowcond_full_rawdist_nearestgoal,5,1.0,5,0.8,-0.19999999999999996,271.79999999999995
antmaze-medium-stitch-v0,5,4,lowcond_full_trajend,5,1.0,5,0.0,-1.0,726.4
antmaze-medium-stitch-v0,5,4,lowcond_tdr_only_local,5,1.0,5,0.8,-0.19999999999999996,194.39999999999998
antmaze-medium-stitch-v0,5,5,lowcond_factor_only_nearestgoal,5,1.0,5,0.0,-1.0,736.4
antmaze-medium-stitch-v0,5,5,lowcond_full,5,1.0,5,0.8,-0.19999999999999996,288.0
antmaze-medium-stitch-v0,5,5,lowcond_full_localres,5,1.0,5,0.8,-0.19999999999999996,322.79999999999995
antmaze-medium-stitch-v0,5,5,lowcond_full_localres_from_full,5,1.0,5,1.0,0.0,166.0
antmaze-medium-stitch-v0,5,5,lowcond_full_nearestgoal,5,1.0,5,0.8,-0.19999999999999996,178.2
antmaze-medium-stitch-v0,5,5,lowcond_full_nomask_nearestgoal,5,1.0,5,0.8,-0.19999999999999996,270.19999999999993
antmaze-medium-stitch-v0,5,5,lowcond_full_rawdist_nearestgoal,5,1.0,5,0.8,-0.19999999999999996,299.79999999999995
antmaze-medium-stitch-v0,5,5,lowcond_full_trajend,5,1.0,5,0.8,-0.19999999999999996,143.0
antmaze-medium-stitch-v0,5,5,lowcond_tdr_only_local,5,1.0,5,1.0,0.0,177.39999999999998
