baseline,node_selection,H,node_budget,num_edges,unsupported_edge_rate,path_coverage_strict,path_coverage_virtual,mean_path_cost_strict,mean_path_cost_virtual,hop_count_cost,num_queries_strict,num_reachable_strict,num_queries_virtual,num_reachable_virtual
grid_adjacent_same_nodes,core_plus_bottleneck,25,40,40,0.0,0.0,,,,0.0,45,0,,
random_same_edge_budget,core_plus_bottleneck,25,40,181,0.8674033149171271,0.9777777777777777,,,,2.659090909090909,45,44,,
support_all_upper_bound,all,25,40,3055,0.0,0.992,1.0,69.01530493428255,71.04726991118207,,500,496,500.0,500.0
kNN_same_nodes,all,25,40,3055,0.18723404255319148,0.958,,,,4.087682672233821,500,479,,
kNN_geometry_same_nodes,all,25,40,3055,0.2160392798690671,0.958,,,,4.18580375782881,500,479,,
grid_adjacent_same_nodes,all,25,40,824,0.055825242718446605,1.0,,,,9.634,500,500,,
random_same_edge_budget,all,25,40,3055,0.9472995090016366,1.0,,,,2.614,500,500,,
support_density,density,25,80,548,0.0,1.0,0.92,76.55425986443515,82.66419899751517,,210,210,500.0,460.0
kNN_same_nodes,density,25,80,298,0.003355704697986577,0.7761904761904762,,,,6.865030674846626,210,163,,
kNN_geometry_same_nodes,density,25,80,268,0.0037313432835820895,0.5238095238095238,,,,6.618181818181818,210,110,,
grid_adjacent_same_nodes,density,25,80,116,0.0,0.0380952380952381,,,,5.75,210,8,,
random_same_edge_budget,density,25,80,548,0.8996350364963503,1.0,,,,2.433333333333333,210,210,,
support_bottleneck,bottleneck,25,80,739,0.0,0.923728813559322,0.732,73.79811959703943,93.51308117818523,,118,109,500.0,366.0
kNN_same_nodes,bottleneck,25,80,402,0.0,0.923728813559322,,,,5.614678899082569,118,109,,
kNN_geometry_same_nodes,bottleneck,25,80,374,0.0,0.923728813559322,,,,5.990825688073395,118,109,,
grid_adjacent_same_nodes,bottleneck,25,80,162,0.0,0.5169491525423728,,,,10.278688524590164,118,61,,
random_same_edge_budget,bottleneck,25,80,739,0.8768606224627875,1.0,,,,2.26271186440678,118,118,,
support_core_plus_bottleneck,core_plus_bottleneck,25,80,643,0.0,0.934640522875817,0.862,82.0570595180743,93.07426679876073,,153,143,500.0,431.0
kNN_same_nodes,core_plus_bottleneck,25,80,347,0.0,0.7516339869281046,,,,5.7043478260869565,153,115,,
kNN_geometry_same_nodes,core_plus_bottleneck,25,80,319,0.0,0.7320261437908496,,,,5.901785714285714,153,112,,
grid_adjacent_same_nodes,core_plus_bottleneck,25,80,142,0.0,0.16339869281045752,,,,9.52,153,25,,
random_same_edge_budget,core_plus_bottleneck,25,80,643,0.8926905132192846,1.0,,,,2.2222222222222223,153,153,,
support_all_upper_bound,all,25,80,3055,0.0,0.992,1.0,69.01530493428255,71.04726991118207,,500,496,500.0,500.0
kNN_same_nodes,all,25,80,3055,0.18723404255319148,0.958,,,,4.087682672233821,500,479,,
kNN_geometry_same_nodes,all,25,80,3055,0.2160392798690671,0.958,,,,4.18580375782881,500,479,,
grid_adjacent_same_nodes,all,25,80,824,0.055825242718446605,1.0,,,,9.634,500,500,,
random_same_edge_budget,all,25,80,3055,0.9472995090016366,1.0,,,,2.614,500,500,,
support_density,density,25,120,1157,0.0,1.0,0.97,70.04059549259013,74.20570313286126,,309,309,500.0,485.0
kNN_same_nodes,density,25,120,648,0.004629629629629629,0.9838187702265372,,,,5.220394736842105,309,304,,
kNN_geometry_same_nodes,density,25,120,585,0.003418803418803419,0.9805825242718447,,,,5.874587458745874,309,303,,
grid_adjacent_same_nodes,density,25,120,246,0.0,0.4368932038834951,,,,10.925925925925926,309,135,,
random_same_edge_budget,density,25,120,1157,0.9239412273120138,1.0,,,,2.4045307443365695,309,309,,
support_bottleneck,bottleneck,25,120,1275,0.0,1.0,0.986,69.30732200813254,73.83662073887584,,237,237,500.0,493.0
kNN_same_nodes,bottleneck,25,120,788,0.0012690355329949238,0.9915611814345991,,,,4.817021276595745,237,235,,
kNN_geometry_same_nodes,bottleneck,25,120,737,0.0013568521031207597,0.9915611814345991,,,,5.153191489361702,237,235,,
grid_adjacent_same_nodes,bottleneck,25,120,274,0.0,0.7257383966244726,,,,12.459302325581396,237,172,,
random_same_edge_budget,bottleneck,25,120,1275,0.9058823529411765,1.0,,,,2.2953586497890295,237,237,,
support_core_plus_bottleneck,core_plus_bottleneck,25,120,1223,0.0,0.980327868852459,0.94,69.71752611508566,73.40651558012716,,305,299,500.0,470.0
kNN_same_nodes,core_plus_bottleneck,25,120,769,0.0013003901170351106,0.980327868852459,,,,4.618729096989966,305,299,,
kNN_geometry_same_nodes,core_plus_bottleneck,25,120,711,0.0014064697609001407,0.980327868852459,,,,4.903010033444816,305,299,,
grid_adjacent_same_nodes,core_plus_bottleneck,25,120,260,0.0,0.6721311475409836,,,,12.570731707317073,305,205,,
random_same_edge_budget,core_plus_bottleneck,25,120,1223,0.9215044971381848,1.0,,,,2.314754098360656,305,305,,
support_all_upper_bound,all,25,120,3055,0.0,0.992,1.0,69.01530493428255,71.04726991118207,,500,496,500.0,500.0
kNN_same_nodes,all,25,120,3055,0.18723404255319148,0.958,,,,4.087682672233821,500,479,,
kNN_geometry_same_nodes,all,25,120,3055,0.2160392798690671,0.958,,,,4.18580375782881,500,479,,
grid_adjacent_same_nodes,all,25,120,824,0.055825242718446605,1.0,,,,9.634,500,500,,
random_same_edge_budget,all,25,120,3055,0.9472995090016366,1.0,,,,2.614,500,500,,
