edge_id,src,dst,heldout_support_lcb,edge_action_mse,edge_action_mse_ucb,edge_policy_support_score,obs_goal_knn_distance,action_residual_score,low_support_flag,edge_ood_score,outgoing_mean_termination_bridge_coverage,incoming_mean_termination_bridge_coverage,outgoing_incompatible_fraction,incoming_incompatible_fraction,edge_proxy_score,certified_offline_binary,edge_bottleneck_score,num_unique_starts,num_unique_episodes,median_h,num_segments,num_episodes,train_num_segments,train_num_unique_starts,train_num_unique_terminations,train_num_episodes,heldout_num_segments,heldout_num_unique_starts,heldout_num_unique_terminations,heldout_num_episodes,heldout_support_binary,heldout_support_rate,num_policy_eval_samples,obs_goal_knn_distance_norm,edge_proxy_score_original,certified_offline_binary_original,support_reliability,policy_reliability,behavior_reliability,compatibility_reliability,diversity_reliability,calibrated_edge_reliability_score,calibrated_edge_risk_score,calibrated_edge_ood_score,calibrated_certified_binary,edge_proxy_score_calibrated_input,edge_ood_score_calibrated_input
364,231,212,0.0,,,0.0,9.999481201171877,1.0,1.0,0.7555101810322732,0.2894248608534323,0.1710305823209049,0.5714285714285714,0.5555555555555556,0.07264939461265152,False,1.1411627055128797,24,5,8.0,77,5,77,24,24,5,0,0,0,0,False,0.0,,0.2665305430968192,-0.0295054737857936,False,0.0,0.0,0.2444898189677268,0.3170113999163731,0.21305841924398625,0.07264939461265152,0.9273506053873485,0.7555101810322732,False,0.07264939461265152,0.7555101810322732
500,326,305,0.0,,,0.0,9.58531665802002,1.0,1.0,0.7103039775573589,0.2905982905982906,0.1156161321134987,0.2,0.2,0.0826132007798208,False,0.4571170268146547,44,10,9.0,117,10,117,44,47,10,0,0,0,0,False,0.0,,0.1309119326720769,-0.0304089554845569,False,0.0,0.0,0.28969602244264114,0.403095235750456,0.3393470790378007,0.0826132007798208,0.9173867992201792,0.7103039775573589,False,0.0826132007798208,0.7103039775573589
528,352,393,0.0,,,0.0,10.58070182800293,1.0,1.0,0.8189506139587296,0.5,0.0130825838103025,0.5,0.6666666666666666,0.05433404176593065,False,0.6701754396575299,3,2,10.0,4,2,4,3,3,2,0,0,0,0,False,0.0,,0.4568518418761885,-0.0305868030148427,False,0.0,0.0,0.1810493860412704,0.3269437336308492,0.019759450171821305,0.05433404176593065,0.9456659582340694,0.8189506139587296,False,0.05433404176593065,0.8189506139587296
184,146,186,0.0,,,0.0,10.11573314666748,1.0,1.0,0.768199121187399,0.45,0.00700991056321,0.4,0.8333333333333334,0.06247406142342411,False,1.2918859947622392,4,3,10.0,4,3,4,4,3,3,0,0,0,0,False,0.0,,0.3045973635621969,-0.0311189210624188,False,0.0,0.0,0.23180087881260103,0.29596210262680916,0.06013745704467354,0.06247406142342411,0.9375259385765758,0.768199121187399,False,0.06247406142342411,0.768199121187399
368,231,233,0.0,,,0.0,9.542088508605955,1.0,1.0,0.7055856100617147,0.1851851851851852,0.1953055904668807,0.6666666666666666,0.5555555555555556,0.07003385959769635,False,1.1619791581108354,7,5,10.0,9,5,9,7,7,5,0,0,0,0,False,0.0,,0.116756830185144,-0.0325094834409648,False,0.0,0.0,0.2944143899382853,0.27200058361684026,0.13831615120274915,0.07003385959769635,0.9299661404023036,0.7055856100617147,False,0.07003385959769635,0.7055856100617147
55,12,33,0.0,,,0.0,9.273670196533203,1.0,1.0,0.6762876582389657,0.2857142857142857,0.0614194656840777,0.5714285714285714,0.0,0.07631072146698793,False,0.586989255123132,14,4,9.0,24,4,24,14,8,4,0,0,0,0,False,0.0,,0.028862974716897,-0.0329153906840602,False,0.0,0.0,0.32371234176103425,0.3521027403828743,0.1610824742268041,0.07631072146698793,0.9236892785330121,0.6762876582389657,False,0.07631072146698793,0.6762876582389657
325,222,224,0.0,,,0.0,8.990792274475098,1.0,1.0,0.6666666666666666,0.2807017543859649,0.0471960989202368,0.1666666666666666,0.8333333333333334,0.07386165558045964,False,0.9050989791035348,11,5,10.0,19,5,19,11,11,5,0,0,0,0,False,0.0,,0.0,-0.0338768813360464,False,0.0,0.0,0.33333333333333337,0.28631182882750483,0.16580756013745704,0.07386165558045964,0.9261383444195403,0.6666666666666666,False,0.07386165558045964,0.6666666666666666
355,229,231,0.0,,,0.0,8.882573127746582,1.0,1.0,0.6666666666666666,0.25,0.0466122727554755,0.625,0.6,0.06440926386726653,False,1.1411627055128797,4,3,10.0,6,3,6,4,5,3,0,0,0,0,False,0.0,,0.0,-0.0370054393911191,False,0.0,0.0,0.33333333333333337,0.23972615177817663,0.06013745704467354,0.06440926386726653,0.9355907361327335,0.6666666666666666,False,0.06440926386726653,0.6666666666666666
551,381,383,0.0,,,0.0,9.805962562561035,1.0,1.0,0.7343875545354356,0.2888888888888889,0.0627557980900409,0.6666666666666666,0.5,0.07108933712044019,False,0.4182303580580847,9,7,10.0,15,7,15,9,11,7,0,0,0,0,False,0.0,,0.2031626636063066,-0.0382742867556505,False,0.0,0.0,0.2656124454645644,0.27066457061698534,0.19931271477663232,0.07108933712044019,0.9289106628795598,0.7343875545354356,False,0.07108933712044019,0.7343875545354356
289,214,235,0.0015638358136017,,,0.0,8.799899101257324,1.0,1.0,0.6666666666666666,0.2138643067846607,0.0611807715491769,0.5,0.625,0.0739467015115345,False,0.7237432083932548,27,5,8.0,113,5,112,26,23,4,1,1,1,1,True,0.0088495575221238,,0.0,-0.0385366245078421,False,0.0015638358136017,0.0,0.33333333333333337,0.2452878123460825,0.22852233676975944,0.0739467015115345,0.9260532984884655,0.6666666666666666,False,0.0739467015115345,0.6666666666666666
505,332,292,0.0,,,0.0,9.785797119140623,1.0,1.0,0.7321864893947853,0.3333333333333333,0.0073623188405797,0.1666666666666666,0.8,0.062017616916008496,False,1.119329782732733,3,3,10.0,3,3,3,3,3,3,0,0,0,0,False,0.0,,0.1965594681843555,-0.0391490837220872,False,0.0,0.0,0.26781351060521474,0.2966699234473573,0.04166666666666667,0.062017616916008496,0.9379823830839915,0.7321864893947853,False,0.062017616916008496,0.7321864893947853
269,210,231,0.0,,,0.0,9.517749786376951,1.0,1.0,0.7029290300922403,0.2088744588744588,0.0984642638382001,0.625,0.4285714285714285,0.07776607681084576,False,1.1411627055128797,72,12,8.0,231,12,231,72,52,12,0,0,0,0,False,0.0,,0.1087870902767205,-0.0395590307379581,False,0.0,0.0,0.2970709699077597,0.26966374815760075,0.39390034364261167,0.07776607681084576,0.9222339231891542,0.7029290300922403,False,0.07776607681084576,0.7029290300922403
398,236,238,0.0,,,0.0,9.72523593902588,1.0,1.0,0.7255762155888396,0.3095238095238095,0.0114680690427105,0.6666666666666666,0.5714285714285714,0.06506963493027598,False,0.6119887066641122,7,3,9.5,14,3,14,7,7,3,0,0,0,0,False,0.0,,0.1767286467665188,-0.0404584337022319,False,0.0,0.0,0.27442378441116044,0.24726768936346427,0.09235395189003437,0.06506963493027598,0.934930365069724,0.7255762155888396,False,0.06506963493027598,0.7255762155888396
146,87,127,0.0455860626446362,,,0.0,10.407404899597168,1.0,1.0,0.8000351941415964,0.1875,0.0150646264086844,0.5,0.6666666666666666,0.07454800188054968,False,1.181694780615308,4,4,10.0,4,4,3,3,3,3,1,1,1,1,True,0.25,,0.4001055824247893,-0.0415126317154367,False,0.0455860626446362,0.0,0.1999648058584036,0.20542873176637827,0.08290378006872852,0.07454800188054968,0.9254519981194503,0.8000351941415964,False,0.07454800188054968,0.8000351941415964
217,203,222,0.0,,,0.0,10.317258834838867,1.0,1.0,0.7901957199197959,0.2262521588946459,0.1479557615441743,0.6666666666666666,0.3333333333333333,0.0734920683573384,False,0.9050989791035348,51,10,8.0,193,10,193,51,45,10,0,0,0,0,False,0.0,,0.3705871597593873,-0.0415987799480975,False,0.0,0.0,0.20980428008020413,0.30586268178662307,0.3487972508591065,0.0734920683573384,0.9265079316426617,0.7901957199197959,False,0.0734920683573384,0.7901957199197959
104,46,27,0.0,,,0.0,9.730384826660156,1.0,1.0,0.7261382184592285,0.2587601078167116,0.0408453680873547,0.4285714285714285,0.6,0.07339873689915966,False,1.2483050882681392,29,6,8.5,106,6,106,29,32,6,0,0,0,0,False,0.0,,0.1784146553776852,-0.0426532742555162,False,0.0,0.0,0.27386178154077145,0.26974308121324647,0.2598797250859106,0.07339873689915966,0.9266012631008403,0.7261382184592285,False,0.07339873689915966,0.7261382184592285
187,158,198,0.0,,,0.0,10.090611457824709,1.0,1.0,0.7654570801405788,0.3333333333333333,0.0,0.6666666666666666,1.0,0.06135658304746438,False,0.6242252993529385,6,6,10.0,6,6,6,6,6,6,0,0,0,0,False,0.0,,0.2963712404217365,-0.0432123746807245,False,0.0,0.0,0.23454291985942122,0.1666666666666667,0.15463917525773196,0.06135658304746438,0.9386434169525356,0.7654570801405788,False,0.06135658304746438,0.7654570801405788
