method,query_id,src,dst,reachable,path_length,num_adjacent_edge_pairs,planning_path_cost,base_path_cost,pair_penalty_cost,mean_edge_proxy_score,min_edge_proxy_score,mean_heldout_support_lcb,min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_pair_termination_bridge_coverage,min_pair_termination_bridge_coverage,mean_pair_bridge_matches_per_first_segment,pair_strict_compatible_rate,pair_incompatible_fraction,low_pair_coverage_fraction,missing_pair_fraction,uncertified_edge_fraction,original_uncertified_edge_fraction,high_pair_risk_fraction,proxy_path_success,path_nodes,path_edge_ids,num_repair_edges,repair_edge_fraction,repair_certified_fraction,mean_repair_edge_proxy_score,min_repair_edge_proxy_score
support_shortest_path,30,184,40,True,6,5,18.246877321464574,18.246877321464574,50.0,0.23831874120921767,0.059068373758498494,0.16830718708804962,0.0,0.4585266480876877,0.4263075452544815,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,1.0,4.4041614869107344e-05,184 8 171 271 1 303 40,796 61 736 1108 9 1221,0,0.0,,,
support_shortest_path,31,39,208,True,3,2,12.454147965839033,12.454147965839033,19.25,0.1353773956076101,0.05359305898679368,0.059031488604122696,0.0,0.26168413930556117,0.6749888571946613,0.0375,0.0,0.0625,0.5,0.5,0.5,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0009018290764654405,39 404 389 208,241 1614 1549,0,0.0,,,
support_shortest_path,32,432,48,True,4,3,13.150170175589434,13.150170175589434,30.0,0.17746051869067053,0.03624076486825811,0.16176177121296312,0.0,0.11537485665148839,0.5404607929067998,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,1.0,0.00020215312249963208,432 7 290 8 48,1678 49 1172 2112,1,0.25,1.0,0.4281235200157122,0.4281235200157122
support_shortest_path,33,97,400,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,34,401,301,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,35,67,256,True,3,2,12.516571708814839,12.516571708814839,10.144736842105264,0.41624451427780423,0.3666408120795737,0.28533634307515926,0.1850640139048809,0.7678099985845463,0.327632206251245,0.49276315789473685,0.375,1.6875,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.06996732729642932,67 361 245 256,2236 1432 967,1,0.3333333333333333,1.0,0.3803136992770135,0.3803136992770135
support_shortest_path,36,443,446,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,37,257,214,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,38,246,495,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,39,471,261,True,4,3,14.73889068190897,14.73889068190897,27.92,0.29347561045668774,0.07178103950813923,0.14599295938272985,0.0,0.6297655058740304,0.3043381799766147,0.06933333333333333,0.0,0.128,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,1.0,0.0028032281176488443,471 179 488 321 261,2386 790 1839 1318,1,0.25,1.0,0.5225116088296305,0.5225116088296305
