method,query_id,src,dst,reachable,path_length,planning_path_cost,base_path_cost,mean_edge_proxy_score,min_edge_proxy_score,mean_heldout_support_lcb,min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_outgoing_incompatible_fraction,mean_outgoing_termination_bridge_coverage,uncertified_edge_fraction,low_proxy_edge_fraction,low_support_lcb_edge_fraction,high_ood_edge_fraction,high_incompat_edge_fraction,bottleneck_edge_fraction,proxy_path_success,path_nodes,path_edge_ids
certified_only,34,401,301,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,35,67,256,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,36,443,446,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,37,257,214,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,38,246,495,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,39,471,261,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,40,494,45,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,41,117,182,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,42,453,511,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,43,152,51,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,44,441,326,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,45,423,254,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,46,147,26,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,47,97,484,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,48,327,458,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,49,385,308,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,50,39,73,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,51,366,5,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,52,231,355,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,53,67,399,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,54,420,267,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,55,394,399,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,56,280,494,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,57,389,319,True,5,14.884098363401845,14.884098363401845,0.3851977700492532,0.3512551504765849,0.3575117439042767,0.2340305766419091,0.8163828159814258,0.30018777804267127,0.49176788124156545,0.18690118188935298,0.0,0.0,0.0,0.2,0.6,0.8,0.008353789375138969,389 474 58 21 381 319,1552 1785 282 126 1489
certified_only,58,10,239,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,59,260,247,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,60,352,293,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,61,441,458,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,62,394,46,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,63,48,462,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,64,143,271,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,65,494,434,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,66,327,7,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,67,401,377,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,68,62,509,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,69,436,343,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,70,509,385,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,71,142,473,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,72,252,244,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,73,372,480,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,74,62,505,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,75,287,188,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,76,366,117,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,77,455,356,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,78,62,241,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,79,62,467,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,80,352,335,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,81,115,94,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,82,327,288,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,83,352,37,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,84,62,293,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,85,161,194,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,86,327,98,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,87,352,185,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,88,391,448,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,89,117,197,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,90,494,172,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,91,152,246,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,92,7,349,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,93,478,261,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,94,436,332,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,95,440,117,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,96,230,129,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,97,287,349,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,98,287,249,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,99,390,467,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,0,229,404,True,5,18.446549636813895,18.446549636813895,0.30787355108146836,0.2714504892149386,0.25291872051355474,0.1268049716161809,0.750962328518294,0.3400312512646949,0.7294230769230768,0.09479411393204493,0.8,0.0,0.0,0.0,0.8,0.4,0.0026660951686646194,229 184 383 433 199 404,909 807 1518 1698 843
proxy_threshold,1,7,380,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,2,401,477,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,3,315,106,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,4,428,224,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,5,327,27,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,6,55,461,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,7,64,67,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,8,440,380,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,9,0,470,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,10,480,240,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,11,67,207,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,12,152,177,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,13,5,53,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,14,214,96,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,15,338,321,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,16,352,59,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,17,475,393,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,18,84,119,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,19,385,369,True,3,12.315139020830474,12.315139020830474,0.26617378533079344,0.2514429623303534,0.23215824097009974,0.0611775713749202,0.6436993566537622,0.39607747892759776,0.704895104895105,0.1383940228569384,1.0,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,0.018813573349708474,385 157 28 369,1525 636 180
proxy_threshold,20,402,500,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,21,389,98,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,22,372,506,False,0,,,,,,,,,,,,,,,,,0.0,,
proxy_threshold,23,311,203,True,5,16.83261087166668,16.83261087166668,0.317571724691673,0.2961373639944757,0.1904827777826464,0.0979927508532162,0.7472507366585515,0.16770842675418413,0.5743589743589743,0.0858429718024019,0.8,0.0,0.0,0.0,0.6,0.4,0.0032002447205313656,311 80 268 271 1 203,1241 361 1103 1108 2
proxy_threshold,24,421,192,False,0,,,,,,,,,,,,,,,,,0.0,,
